id,eta_V_SAEM,eta_Wc_11_SAEM,eta_Wc_12_SAEM,eta_Wc_13_SAEM,eta_Wc_14_SAEM,eta_Wc_15_SAEM,eta_bc_11_SAEM,eta_bc_12_SAEM,eta_bc_13_SAEM,eta_bc_14_SAEM,eta_bc_15_SAEM,eta_Wc_21_SAEM,eta_Wc_22_SAEM,eta_Wc_23_SAEM,eta_Wc_24_SAEM,eta_Wc_25_SAEM,eta_bc_21_SAEM,eta_Wct_11_SAEM,eta_Wct_12_SAEM,eta_Wct_13_SAEM,eta_Wct_14_SAEM,eta_Wct_15_SAEM,eta_bct_11_SAEM,eta_bct_12_SAEM,eta_bct_13_SAEM,eta_bct_14_SAEM,eta_bct_15_SAEM,eta_Wct_21_SAEM,eta_Wct_22_SAEM,eta_Wct_23_SAEM,eta_Wct_24_SAEM,eta_Wct_25_SAEM,eta_V_mean,eta_Wc_11_mean,eta_Wc_12_mean,eta_Wc_13_mean,eta_Wc_14_mean,eta_Wc_15_mean,eta_bc_11_mean,eta_bc_12_mean,eta_bc_13_mean,eta_bc_14_mean,eta_bc_15_mean,eta_Wc_21_mean,eta_Wc_22_mean,eta_Wc_23_mean,eta_Wc_24_mean,eta_Wc_25_mean,eta_bc_21_mean,eta_Wct_11_mean,eta_Wct_12_mean,eta_Wct_13_mean,eta_Wct_14_mean,eta_Wct_15_mean,eta_bct_11_mean,eta_bct_12_mean,eta_bct_13_mean,eta_bct_14_mean,eta_bct_15_mean,eta_Wct_21_mean,eta_Wct_22_mean,eta_Wct_23_mean,eta_Wct_24_mean,eta_Wct_25_mean,eta_V_mode,eta_Wc_11_mode,eta_Wc_12_mode,eta_Wc_13_mode,eta_Wc_14_mode,eta_Wc_15_mode,eta_bc_11_mode,eta_bc_12_mode,eta_bc_13_mode,eta_bc_14_mode,eta_bc_15_mode,eta_Wc_21_mode,eta_Wc_22_mode,eta_Wc_23_mode,eta_Wc_24_mode,eta_Wc_25_mode,eta_bc_21_mode,eta_Wct_11_mode,eta_Wct_12_mode,eta_Wct_13_mode,eta_Wct_14_mode,eta_Wct_15_mode,eta_bct_11_mode,eta_bct_12_mode,eta_bct_13_mode,eta_bct_14_mode,eta_bct_15_mode,eta_Wct_21_mode,eta_Wct_22_mode,eta_Wct_23_mode,eta_Wct_24_mode,eta_Wct_25_mode,eta_V_sd,eta_Wc_11_sd,eta_Wc_12_sd,eta_Wc_13_sd,eta_Wc_14_sd,eta_Wc_15_sd,eta_bc_11_sd,eta_bc_12_sd,eta_bc_13_sd,eta_bc_14_sd,eta_bc_15_sd,eta_Wc_21_sd,eta_Wc_22_sd,eta_Wc_23_sd,eta_Wc_24_sd,eta_Wc_25_sd,eta_bc_21_sd,eta_Wct_11_sd,eta_Wct_12_sd,eta_Wct_13_sd,eta_Wct_14_sd,eta_Wct_15_sd,eta_bct_11_sd,eta_bct_12_sd,eta_bct_13_sd,eta_bct_14_sd,eta_bct_15_sd,eta_Wct_21_sd,eta_Wct_22_sd,eta_Wct_23_sd,eta_Wct_24_sd,eta_Wct_25_sd
1,0.0125755,-0.00294057,-0.0116866,-0.0131656,-0.00157115,-0.0196273,-0.0290343,-0.00914201,0.0298478,-0.00322362,-0.00806802,-0.0192853,-0.011385,-0.00410841,0.00807584,-0.00507181,0.00122468,0.014689,0.021745,0.0159202,-0.0464643,-0.0051325,-0.0104376,0.0144322,0.00811544,0.00211135,0.00334162,0.00759804,-0.0304368,0.0609787,-0.00442588,-0.0299532,0.0142865,-0.00386586,-0.00711861,-0.00397626,-0.00120856,-0.0189309,0.00107471,-0.00289017,-0.0133735,-0.0024803,0.0667329,-0.00982784,-0.0044387,-0.0170489,0.0110844,0.00449166,0.000481885,-0.00852871,0.00988658,-0.0153348,0.00826236,0.0218143,-0.00407024,0.00672824,-0.000999568,0.0178288,-0.00524179,0.000813142,-0.0188524,-0.00369689,-0.00358785,-0.00241103,0.0201723,-0.000175163,-0.000270278,-0.000122786,-0.00151566,-6.92295e-06,-0.0020591,-0.000209963,-0.000371112,-0.00110921,-0.000970226,0.000376386,0.000312106,-0.0101349,0.0103968,0.000874879,0.000404136,0.000739659,-0.000354664,-0.0172031,-0.000371299,-0.00339704,-0.000652097,-0.000451592,-0.000112861,-0.000683864,-0.000156642,-6.34247e-05,0.00120232,-0.00213313,-0.00019883,0.000780519,0.0685535,0.197113,0.121734,0.17111,0.0123506,0.356007,0.349996,0.236007,0.272452,0.0304437,0.834955,0.384932,0.178428,0.333165,0.0257803,0.283128,0.0107321,0.460616,0.330029,0.623292,0.623758,0.37853,0.202037,0.310879,0.117633,0.38053,0.422571,0.121943,0.360979,0.516491,0.253725,0.423892
2,-0.0611418,0.0122213,0.0212317,0.0135583,-0.00649016,0.0149026,0.00167011,-0.0134796,0.00462045,-0.0136012,0.0070208,-0.000213211,-0.014792,0.0141248,0.0406829,-0.00793049,0.0062201,-0.0126265,0.0153098,-0.0384779,-0.0347138,-0.0287846,-0.00170251,0.0106831,-0.00612181,0.00307235,0.061164,-0.00474883,-0.00175723,-0.0331323,-0.0161234,-0.00042456,-0.0699151,0.0117601,0.00169615,0.00450682,-0.00660984,0.00961037,0.0119776,0.00185471,0.00603729,-0.0170193,0.0159013,0.00319415,0.00107836,-0.00362605,0.0365202,-0.010315,0.00617002,0.00661124,0.0147011,0.0113876,-0.0313875,0.000696786,0.0141802,-0.0172852,-0.00310973,-0.00574693,-0.006869,0.00298533,0.00805138,-0.00118136,-0.00987319,0.0276386,-0.0654596,-3.45989e-05,2.42679e-05,3.39637e-05,-0.00615455,0.000102999,3.44349e-05,-2.69837e-05,-2.75642e-05,-0.0149177,-8.20186e-05,-0.000141896,-0.000106139,-0.00173952,0.0386842,-9.3481e-05,0.00616507,-9.46365e-05,6.97782e-05,-0.000639484,0.000138565,-9.08738e-05,7.01282e-05,0.000120663,2.51666e-05,-5.73608e-05,2.0227e-05,1.46039e-05,5.60811e-06,0.000100447,-3.35921e-05,-0.000234318,0.0612981,0.202148,0.123652,0.177061,0.011406,0.354325,0.363283,0.24109,0.265314,0.0312267,0.823586,0.378283,0.181512,0.341996,0.0264158,0.278296,0.0100831,0.452372,0.347736,0.617441,0.61096,0.408957,0.208228,0.313467,0.113664,0.364019,0.406991,0.117544,0.35909,0.534438,0.248763,0.413083
3,0.0194941,0.00862366,0.0037915,0.00169429,0.000272157,0.0307754,-0.0205077,-0.015755,0.0362068,-0.000593977,0.0934335,0.0422577,0.00142188,0.022473,-0.00380668,-0.0287268,0.000489386,-0.0286742,-0.0205293,0.0292141,0.015788,0.0206573,0.000500974,0.0114642,0.000186519,-0.000935592,-0.0531952,-0.00668575,-0.0246215,0.0445701,0.00423105,0.0405442,0.0104297,-0.00467732,-0.00244609,0.00668275,0.000706775,0.0148823,-0.00642236,-0.00848785,-0.00781534,0.000165199,0.0255511,0.0175004,0.00151285,-0.00384122,-0.0032692,0.0178449,-0.000150824,-0.00891763,-0.00315593,-0.000831914,-0.0111814,0.00814216,-0.00568546,-0.000405229,-0.000985683,-0.0137036,-0.00706419,0.000771826,-0.00863256,0.0107113,-0.000421698,0.00293712,0.0150547,-7.54074e-06,-2.89727e-06,2.51422e-05,0.000635395,-8.87358e-05,-0.000163853,-2.04136e-05,-1.51939e-05,0.00182957,8.96379e-05,5.58252e-05,-8.14788e-06,-0.00416249,-0.00350632,3.53186e-05,-0.000661102,-5.38169e-05,-2.21865e-05,0.00018394,1.63634e-05,-6.26044e-05,-1.34904e-06,4.93097e-05,2.18263e-05,-0.00012033,-5.03439e-05,-2.77328e-05,7.24021e-05,0.000121837,-2.08147e-05,-3.09038e-05,0.0661744,0.205388,0.121523,0.178186,0.0115822,0.366483,0.3599,0.230139,0.273461,0.0306977,0.852858,0.370392,0.185642,0.343776,0.0255508,0.281373,0.0104384,0.455807,0.353271,0.599413,0.625638,0.400677,0.205881,0.320291,0.116964,0.390889,0.40345,0.119022,0.368971,0.538508,0.250645,0.421223
4,-0.0685631,0.0198728,0.014308,0.0025801,-0.00568807,0.019429,0.00951319,0.0134303,-0.00855835,-0.00820948,-0.00875528,-0.0364337,0.00638781,0.00152966,0.028553,-0.0185762,0.00266216,-0.0227273,-0.0234173,0.0195084,0.0308408,-0.00939703,0.0135986,0.0448938,-0.00868494,0.00128895,0.0777713,-0.00550222,0.0465301,0.0577888,-0.00415614,0.0323733,-0.0681713,-0.00322992,0.00646908,-0.000558122,-0.00431379,-0.0173645,0.0012456,0.013269,-0.00921299,-0.00698562,0.0422498,-0.000863785,-0.00663173,-0.0157443,0.0329103,-0.00430032,0.00322981,-0.00516706,0.0149593,-0.0330941,-0.0170157,-0.0108421,0.00301111,0.0333718,0.00397314,-0.0110583,0.0151841,0.0072787,0.00497507,0.00352648,0.00456875,0.012353,-0.0733677,0.000837123,-0.000647093,-0.000665587,-0.00485787,0.00039033,-8.01435e-05,-0.000377414,-0.000249178,-0.0068554,0.000678507,-0.00290439,0.00017433,-0.00690398,0.0328715,-0.000906244,0.00281408,0.000672004,0.00161776,0.00389866,0.00217873,-0.000350418,0.000955498,0.00211701,0.00015775,-8.39437e-05,0.000414932,-0.000238254,-0.000848575,-0.000503705,-0.000357891,-0.000339409,0.0620839,0.205766,0.130848,0.179252,0.0122346,0.360954,0.365145,0.239271,0.27864,0.0318308,0.843276,0.374536,0.177571,0.336864,0.0254564,0.274651,0.0106254,0.474928,0.340572,0.610889,0.601808,0.387086,0.201663,0.324797,0.113998,0.381297,0.480118,0.116077,0.360578,0.505088,0.245362,0.40598
5,-0.0741946,0.00532029,-0.000734904,-0.0203221,-0.00133832,-0.00667958,0.018441,0.00535866,0.0162875,0.0032376,-0.0348568,-0.00909989,-0.00658673,-0.0409536,0.00834225,-0.0151173,-0.000996138,0.0246839,0.0219935,0.00923107,-0.0129853,0.0136353,0.0117195,-0.0281774,0.00318217,-0.0525429,-0.0113591,-0.0156075,0.0209767,0.0403465,0.0123597,-0.00809663,-0.0763229,-0.00842503,-0.00281219,-0.00956231,-0.00022952,-0.000321523,0.00150816,-0.00481547,-0.00282703,0.0016198,0.000317442,-0.00462128,0.00147455,-0.013356,0.00730231,0.00369659,-0.0010016,0.0130798,-9.43735e-05,0.0286366,-0.0133823,-0.0320031,0.00387851,-0.0132113,-0.00060286,0.00525815,0.0246527,0.00233578,-0.0101708,-0.0163104,0.0132751,0.0165518,-0.0727802,5.0321e-05,-0.000121889,2.23359e-05,-0.000667136,0.000234386,-0.000197101,2.7381e-05,1.02922e-05,0.00336903,0.000353054,-1.5411e-05,3.59151e-05,0.00153449,0.00666914,-0.00047555,-0.00124061,-3.97361e-05,0.000230949,0.024416,-0.000802132,0.000376769,-0.000105047,-0.000194798,6.23121e-06,-9.48353e-05,-7.05186e-05,5.38822e-05,-0.000103801,-6.09885e-05,-0.00010622,0.000437197,0.0618819,0.202903,0.123288,0.169177,0.0114632,0.350569,0.345467,0.242914,0.264154,0.0314614,0.802081,0.356906,0.180868,0.328673,0.025194,0.275445,0.0107229,0.455789,0.339418,0.628448,0.614556,0.395056,0.206655,0.316178,0.11513,0.358823,0.432588,0.114638,0.359439,0.556241,0.25067,0.4155
6,0.0617772,0.0109263,-0.0137493,0.0252315,0.00710496,0.0135231,0.0283667,-0.00898376,-0.0484258,0.0139342,0.084115,0.018295,0.00581147,0.0299654,-0.0198409,0.00310718,-0.00519077,0.0214547,0.0192645,0.0516884,0.0315717,-0.00317174,0.0199085,-0.0116885,0.00371586,0.0154559,0.00881306,0.00795801,-0.000396792,0.0959768,0.00884122,0.0192512,0.0663843,-0.0114838,-0.00163221,-0.00360333,0.00518461,-0.0361054,-0.0276377,0.0114819,-0.00403246,0.00838722,0.00868166,0.00987009,0.00469627,0.016745,-0.0230677,0.0155813,-0.00453191,0.00390912,0.00961442,-0.0493055,0.0172627,0.00747412,0.000933812,-0.0135613,-0.00188016,0.00345373,-0.00528226,-0.00196011,0.014243,0.0104467,-0.0169313,0.00963245,0.0686089,0.00024996,-0.000261262,9.92899e-05,0.00458371,-0.000730958,-0.00112939,2.24392e-05,-0.000243152,0.0143759,0.000325441,0.000106831,0.000644466,0.0183023,-0.0242189,2.82721e-05,-0.00486432,0.000821242,-0.00140263,0.000274174,-0.00176296,-0.00130573,-0.000241041,-0.000790223,-0.00024655,0.000526229,0.000531819,-0.000232321,-0.00124987,-0.000794594,-0.0006176,-0.000437809,0.0660168,0.19766,0.118228,0.178627,0.0112618,0.371658,0.337409,0.248513,0.25953,0.0311477,0.832185,0.351456,0.1759,0.345124,0.0241818,0.279004,0.0107203,0.444475,0.350073,0.577668,0.630972,0.398194,0.205724,0.313957,0.114504,0.373443,0.426248,0.114126,0.358703,0.542597,0.255216,0.428301
7,0.0271513,0.00167384,-0.00162265,0.000634901,-0.000177001,-0.0145351,-0.0240043,0.00587186,-0.0305161,-0.000685343,0.000246579,0.0122343,0.00866768,0.0417003,-0.00814238,0.0572914,0.000479472,-0.0146099,0.0351981,0.064783,0.0146244,-0.00154847,0.0189217,-0.000193665,-0.0144854,-0.0482927,-0.0351534,0.016373,-0.0532154,-0.0110147,0.0123021,-0.0267547,0.0215327,-0.00848429,-0.00171462,-0.00143143,0.000891033,0.0132405,-0.00321467,-0.00312343,0.0113292,-0.00318264,-0.00464403,0.0249153,0.00180989,-0.0181964,-0.00866257,-0.00460378,0.00028259,-0.00314244,-0.0141654,-0.0143136,0.074072,-0.0179863,0.0141519,-0.00472674,-0.00142111,0.00083277,-0.0153829,0.00365204,0.0175263,-0.0425986,0.00946176,-0.0303419,0.0246746,0.000225421,0.000505132,0.000109883,0.0013597,0.000960769,-0.00226756,-0.000418779,4.9731e-05,-0.000178861,-0.0010719,0.00130343,5.74825e-05,-0.00819665,-0.00950299,-0.000201499,9.05767e-05,0.000999081,-0.000203505,-0.000558402,8.47854e-05,0.00491311,0.000414422,-0.000433157,0.000111496,0.000937051,0.000843579,0.000130516,-0.000975841,0.000435658,0.000633753,0.000454714,0.066889,0.206276,0.116418,0.178886,0.011881,0.35952,0.341122,0.237243,0.260521,0.0312144,0.878725,0.380513,0.187276,0.340562,0.0248572,0.273626,0.0103298,0.477286,0.340513,0.611038,0.645848,0.412592,0.202838,0.318934,0.114164,0.392197,0.403581,0.116404,0.355014,0.532385,0.254418,0.431219
8,-0.00259921,-0.0317531,-0.00330718,-0.00932364,-0.00615324,0.00378473,-0.00937893,0.0172926,0.0204167,-0.0104099,0.0188133,0.0237779,0.0206837,-0.0488953,0.0274638,-0.0149691,0.00397352,0.0420673,-0.00740459,0.0107003,-0.025237,0.00912307,-0.00160852,-0.0617952,-0.00497998,0.0196204,0.00832608,-0.0101678,-0.0695935,0.0177174,0.00684342,0.0122942,-0.0049017,-0.00471052,0.00308226,0.00622504,-0.00463466,0.00817241,-0.0191075,-0.00301761,-0.00508016,-0.00935258,-0.00536264,-0.0141312,-0.00386292,0.00591682,0.0289862,0.0121761,0.00281313,-0.0123046,-0.00142623,0.0163985,-0.00618458,-0.0143568,-0.00747181,0.0181407,0.00426951,0.00869112,-0.000839663,-0.00599793,-0.0189974,-0.015923,0.00296222,-0.020063,-0.00664281,-1.17058e-05,4.03271e-05,2.68752e-05,-0.00428643,-1.00443e-06,0.000291515,-1.38904e-05,-5.37201e-06,-0.00735892,-0.000143917,2.71866e-05,-9.54926e-05,0.00420126,0.0283845,-1.27212e-05,0.00294379,9.53924e-06,0.000171445,-0.00127204,0.000365787,-0.000253883,8.95694e-06,-6.38423e-05,-4.68458e-05,0.000107698,4.13796e-05,-2.61271e-05,2.15501e-05,-0.000214154,-7.90929e-05,0.000366756,0.0646836,0.191678,0.127358,0.173445,0.0115373,0.354537,0.365775,0.241019,0.267632,0.0313217,0.810885,0.372268,0.173302,0.343424,0.022434,0.286086,0.0108598,0.430197,0.338289,0.619507,0.60803,0.40089,0.212609,0.319566,0.115901,0.36486,0.418948,0.115679,0.364511,0.568782,0.242483,0.409292
9,0.0733771,-0.0199646,-0.00180868,-0.00431878,0.00347094,-0.0109354,0.0303339,0.00258784,0.00965622,0.0022093,-0.0156428,-0.00787083,0.00735596,-0.0162785,-0.0158381,0.0198396,-0.000806868,-0.0382538,0.00536473,0.0387297,-0.0521164,0.00937445,-0.00834592,0.00353358,-0.00466613,-0.0202397,-0.0408581,0.00743874,0.0338716,-0.00369616,-0.0282993,0.000711074,0.0827534,0.0024325,-0.00520551,-0.00238723,0.00289963,0.00894889,-0.00345114,-0.000259646,-0.0113123,0.00287732,0.0160037,0.00137839,-0.007672,-0.00634623,-0.016108,0.010554,-0.000865237,0.0114829,0.0123912,0.0253612,-0.00601546,0.00496941,-0.00259878,-0.00654602,0.00143425,0.0259725,0.00137641,-0.00326756,-0.0284703,-0.00457174,-0.00950153,0.0196812,0.0816345,0.000819165,0.000143291,3.02876e-06,0.00261965,-0.000433635,0.000885594,-8.8065e-05,-0.00220566,0.00464282,0.00410491,0.000216148,0.000148227,-0.00088964,-0.0160634,0.00103347,-0.00163685,0.00300037,0.000461649,0.0155027,-0.000960803,-0.000512143,-0.000443282,0.000801267,-0.00020806,-0.000219169,0.000241988,-0.00024479,-0.000379783,0.00335553,5.73317e-05,0.00187562,0.0648735,0.194137,0.123138,0.172703,0.0117896,0.347782,0.351737,0.23137,0.275683,0.0300806,0.826333,0.371942,0.174799,0.333147,0.0254731,0.285317,0.010418,0.461475,0.338566,0.61771,0.623302,0.405583,0.206779,0.315577,0.117153,0.38857,0.418701,0.118569,0.371251,0.527336,0.253949,0.431214
10,-0.0501003,0.0114466,0.0118309,-0.0140642,0.00611618,0.0726785,-0.00712807,-0.0178251,0.0376974,0.0266964,0.00933381,-0.00258891,0.00738365,-0.0158798,-0.0240168,-0.0164183,-0.0082233,-0.00173809,0.0337454,0.0113375,0.0771344,-0.0501088,-0.0280279,-0.00297873,-0.00770153,-0.0207289,-0.0112095,-0.00634477,0.0425535,-0.0538262,-0.00361588,-0.01716,-0.0591672,-0.00826237,-0.00496192,-0.00425091,0.0059507,0.004626,-0.00381878,-0.00113201,0.00242266,0.0263303,0.00718863,-0.0032021,0.00241247,0.00809468,-0.0254748,0.00332418,-0.0088344,0.0034937,0.00521073,0.0278111,0.0256884,-0.0172198,-0.0115668,-0.00981077,0.00584538,0.0137845,-0.00671492,0.00867158,0.00454062,-0.00544349,0.0174202,0.0132482,-0.0587045,0.000432798,0.000486402,-0.000229284,0.00616495,0.000327117,0.000573739,7.84163e-05,0.000440172,0.0302682,0.000941822,-0.00133138,-0.000886655,0.00663051,-0.0284508,-0.000693181,-0.0101258,-0.00115302,0.000701684,0.0228888,0.000230736,0.00206978,0.000384344,0.000258088,5.71086e-05,0.000507469,0.000874726,0.00046529,-0.00069492,0.00180382,-0.000278212,0.000209613,0.0589091,0.203414,0.122946,0.176619,0.0120981,0.360517,0.319847,0.235105,0.269444,0.0311021,0.816861,0.374079,0.177077,0.335081,0.0251909,0.287583,0.0105978,0.433809,0.337373,0.603521,0.64154,0.388236,0.213478,0.320349,0.113675,0.373306,0.435095,0.11558,0.362818,0.550319,0.25115,0.415937
