id,V_SAEM,Wc_11_SAEM,Wc_12_SAEM,Wc_13_SAEM,Wc_14_SAEM,Wc_15_SAEM,bc_11_SAEM,bc_12_SAEM,bc_13_SAEM,bc_14_SAEM,bc_15_SAEM,Wc_21_SAEM,Wc_22_SAEM,Wc_23_SAEM,Wc_24_SAEM,Wc_25_SAEM,bc_21_SAEM,Wct_11_SAEM,Wct_12_SAEM,Wct_13_SAEM,Wct_14_SAEM,Wct_15_SAEM,bct_11_SAEM,bct_12_SAEM,bct_13_SAEM,bct_14_SAEM,bct_15_SAEM,Wct_21_SAEM,Wct_22_SAEM,Wct_23_SAEM,Wct_24_SAEM,Wct_25_SAEM,V_mean,Wc_11_mean,Wc_12_mean,Wc_13_mean,Wc_14_mean,Wc_15_mean,bc_11_mean,bc_12_mean,bc_13_mean,bc_14_mean,bc_15_mean,Wc_21_mean,Wc_22_mean,Wc_23_mean,Wc_24_mean,Wc_25_mean,bc_21_mean,Wct_11_mean,Wct_12_mean,Wct_13_mean,Wct_14_mean,Wct_15_mean,bct_11_mean,bct_12_mean,bct_13_mean,bct_14_mean,bct_15_mean,Wct_21_mean,Wct_22_mean,Wct_23_mean,Wct_24_mean,Wct_25_mean,V_mode,Wc_11_mode,Wc_12_mode,Wc_13_mode,Wc_14_mode,Wc_15_mode,bc_11_mode,bc_12_mode,bc_13_mode,bc_14_mode,bc_15_mode,Wc_21_mode,Wc_22_mode,Wc_23_mode,Wc_24_mode,Wc_25_mode,bc_21_mode,Wct_11_mode,Wct_12_mode,Wct_13_mode,Wct_14_mode,Wct_15_mode,bct_11_mode,bct_12_mode,bct_13_mode,bct_14_mode,bct_15_mode,Wct_21_mode,Wct_22_mode,Wct_23_mode,Wct_24_mode,Wct_25_mode,V_sd,Wc_11_sd,Wc_12_sd,Wc_13_sd,Wc_14_sd,Wc_15_sd,bc_11_sd,bc_12_sd,bc_13_sd,bc_14_sd,bc_15_sd,Wc_21_sd,Wc_22_sd,Wc_23_sd,Wc_24_sd,Wc_25_sd,bc_21_sd,Wct_11_sd,Wct_12_sd,Wct_13_sd,Wct_14_sd,Wct_15_sd,bct_11_sd,bct_12_sd,bct_13_sd,bct_14_sd,bct_15_sd,Wct_21_sd,Wct_22_sd,Wct_23_sd,Wct_24_sd,Wct_25_sd
1,1.974,-0.637975,-0.161218,-0.483547,0.318367,-0.801485,-0.161004,-0.834506,-0.52965,-0.175729,-5.29703,0.390045,0.234481,0.00583706,-0.318509,0.114514,-0.0416694,1.05719,-1.79872,-0.00541671,-0.51211,-0.132258,-0.284411,-0.286222,-0.200879,-0.835752,-0.962398,-0.12201,0.741569,-0.117607,-0.768795,0.341629,1.98019,-0.63945,-0.151865,-0.471901,0.318999,-0.791018,-0.134035,-0.819705,-0.555919,-0.173653,-5.24601,0.417812,0.256932,-0.0187194,-0.313211,0.125526,-0.0434182,1.04953,-1.81896,-0.0530497,-0.478416,-0.110837,-0.273389,-0.270702,-0.216145,-0.89223,-1.03667,-0.131718,0.765761,-0.167591,-0.789139,0.372429,1.99188,-0.635759,-0.145017,-0.468048,0.318692,-0.772094,-0.137168,-0.817025,-0.542917,-0.172281,-5.31372,0.428017,0.261683,-0.0118054,-0.313899,0.121909,-0.043496,1.0588,-1.8292,-0.054918,-0.487049,-0.136048,-0.269971,-0.277882,-0.215258,-0.910743,-1.03158,-0.132595,0.785815,-0.166027,-0.78575,0.37562,0.192298,0.197113,0.121734,0.17111,0.0123506,0.356007,0.349996,0.236007,0.272452,0.0304437,0.834955,0.384932,0.178428,0.333165,0.0257803,0.283128,0.0107321,0.460616,0.330029,0.623292,0.623758,0.37853,0.202037,0.310879,0.117633,0.38053,0.422571,0.121943,0.360979,0.516491,0.253725,0.423892
2,1.83371,-0.622813,-0.1283,-0.456823,0.313448,-0.766955,-0.1303,-0.838843,-0.554877,-0.186107,-5.28195,0.409117,0.231074,0.0240703,-0.285902,0.111656,-0.036674,1.02988,-1.80516,-0.0598148,-0.50036,-0.155911,-0.275676,-0.289971,-0.215117,-0.834791,-0.904576,-0.134357,0.770249,-0.211718,-0.780492,0.371157,1.82028,-0.623824,-0.143051,-0.463418,0.313598,-0.762476,-0.123132,-0.81496,-0.536509,-0.188191,-5.29684,0.430834,0.262449,-0.00529657,-0.287775,0.110719,-0.0377301,1.06467,-1.81414,-0.0263273,-0.518065,-0.131954,-0.255138,-0.294716,-0.218255,-0.915806,-1.03829,-0.129546,0.792664,-0.165075,-0.795424,0.402478,1.82841,-0.635618,-0.144723,-0.467891,0.314053,-0.771984,-0.135075,-0.816842,-0.542573,-0.18609,-5.31283,0.427498,0.261265,-0.00341004,-0.285611,0.120941,-0.037735,1.05796,-1.82878,-0.0383544,-0.486539,-0.132742,-0.269248,-0.27731,-0.21512,-0.910116,-1.0314,-0.132517,0.784619,-0.163794,-0.785584,0.374605,0.158013,0.202148,0.123652,0.177061,0.011406,0.354325,0.363283,0.24109,0.265314,0.0312267,0.823586,0.378283,0.181512,0.341996,0.0264158,0.278296,0.0100831,0.452372,0.347736,0.617441,0.61096,0.408957,0.208228,0.313467,0.113664,0.364019,0.406991,0.117544,0.35909,0.534438,0.248763,0.413083
3,1.9877,-0.62641,-0.14574,-0.468687,0.320211,-0.751082,-0.152478,-0.841119,-0.523291,-0.1731,-5.19553,0.451588,0.247288,0.0324185,-0.330392,0.0908593,-0.0424047,1.01383,-1.841,0.00787718,-0.449858,-0.106469,-0.273473,-0.28919,-0.208808,-0.838798,-1.01893,-0.136294,0.747385,-0.134016,-0.760138,0.412126,1.97257,-0.640261,-0.147193,-0.461242,0.320914,-0.757204,-0.141532,-0.825303,-0.550361,-0.171007,-5.28719,0.445141,0.262884,-0.00551174,-0.327565,0.138879,-0.0440509,1.04914,-1.832,-0.0385468,-0.497859,-0.124509,-0.275004,-0.277836,-0.216131,-0.923762,-1.03849,-0.131759,0.775981,-0.153183,-0.785973,0.377777,1.98171,-0.635591,-0.14475,-0.4679,0.320843,-0.772175,-0.135273,-0.816835,-0.542561,-0.169343,-5.31266,0.427696,0.261363,-0.00583301,-0.327802,0.12107,-0.0445612,1.058,-1.82887,-0.037531,-0.486661,-0.132714,-0.26932,-0.277381,-0.215124,-0.910179,-1.03148,-0.132559,0.784686,-0.163772,-0.785572,0.374809,0.184642,0.205388,0.121523,0.178186,0.0115822,0.366483,0.3599,0.230139,0.273461,0.0306977,0.852858,0.370392,0.185642,0.343776,0.0255508,0.281373,0.0104384,0.455807,0.353271,0.599413,0.625638,0.400677,0.205881,0.320291,0.116964,0.390889,0.40345,0.119022,0.368971,0.538508,0.250645,0.421223
4,1.82016,-0.615161,-0.135224,-0.467801,0.31425,-0.762429,-0.122457,-0.811933,-0.568056,-0.180715,-5.29772,0.372897,0.252254,0.0114751,-0.298032,0.10101,-0.0402319,1.01978,-1.84388,-0.00182856,-0.434805,-0.136523,-0.260375,-0.255761,-0.21768,-0.836574,-0.887968,-0.135111,0.818536,-0.120797,-0.768525,0.403955,1.82346,-0.638814,-0.138278,-0.468483,0.315894,-0.789451,-0.133864,-0.803546,-0.551759,-0.178158,-5.2705,0.426776,0.254739,-0.0174148,-0.291385,0.116734,-0.0406703,1.05289,-1.81389,-0.070809,-0.503694,-0.143493,-0.266307,-0.244059,-0.211172,-0.921117,-1.01624,-0.125253,0.789588,-0.160368,-0.780982,0.387193,1.81401,-0.634747,-0.145394,-0.46859,0.31535,-0.771696,-0.135189,-0.817192,-0.542795,-0.178028,-5.31207,0.424736,0.261545,-0.0085745,-0.291424,0.120128,-0.041086,1.05873,-1.82723,-0.0338162,-0.484499,-0.133002,-0.268363,-0.275314,-0.214988,-0.910143,-1.03101,-0.13277,0.783765,-0.164398,-0.785909,0.3745,0.160428,0.205766,0.130848,0.179252,0.0122346,0.360954,0.365145,0.239271,0.27864,0.0318308,0.843276,0.374536,0.177571,0.336864,0.0254564,0.274651,0.0106254,0.474928,0.340572,0.610889,0.601808,0.387086,0.201663,0.324797,0.113998,0.381297,0.480118,0.116077,0.360578,0.505088,0.245362,0.40598
5,1.80994,-0.629714,-0.150267,-0.490704,0.3186,-0.788537,-0.113529,-0.820005,-0.54321,-0.169268,-5.32382,0.400231,0.239279,-0.0310082,-0.318243,0.104469,-0.0438902,1.06719,-1.79847,-0.0121059,-0.478631,-0.113491,-0.262254,-0.328832,-0.205813,-0.890406,-0.977099,-0.145216,0.792983,-0.13824,-0.752009,0.363485,1.80865,-0.644009,-0.147559,-0.477487,0.319978,-0.772408,-0.133601,-0.821631,-0.545373,-0.169552,-5.31243,0.423019,0.262845,-0.0150265,-0.316993,0.124731,-0.0449017,1.07114,-1.82894,-0.0090783,-0.50006,-0.164654,-0.26544,-0.290642,-0.215748,-0.904801,-1.00677,-0.130195,0.774442,-0.180205,-0.772276,0.391391,1.81507,-0.635533,-0.144869,-0.467902,0.31954,-0.771852,-0.135306,-0.816788,-0.542536,-0.167803,-5.31239,0.427625,0.261407,-0.00013603,-0.317626,0.120559,-0.0451407,1.05802,-1.82861,-0.0132989,-0.48748,-0.132274,-0.269424,-0.277625,-0.215139,-0.910154,-1.0315,-0.132477,0.784509,-0.163955,-0.785657,0.375277,0.158281,0.202903,0.123288,0.169177,0.0114632,0.350569,0.345467,0.242914,0.264154,0.0314614,0.802081,0.356906,0.180868,0.328673,0.025194,0.275445,0.0107229,0.455789,0.339418,0.628448,0.614556,0.395056,0.206655,0.316178,0.11513,0.358823,0.432588,0.114638,0.359439,0.556241,0.25067,0.4155
6,2.07355,-0.624108,-0.163281,-0.44515,0.327043,-0.768335,-0.103603,-0.834347,-0.607923,-0.158572,-5.20485,0.427625,0.251677,0.0399109,-0.346426,0.122693,-0.0480849,1.06396,-1.8012,0.0303515,-0.434074,-0.130298,-0.254065,-0.312343,-0.205279,-0.822407,-0.956927,-0.12165,0.771609,-0.0826093,-0.755528,0.390833,2.08609,-0.647068,-0.146379,-0.471528,0.325392,-0.808192,-0.162747,-0.805333,-0.546578,-0.162785,-5.30406,0.43751,0.266067,0.0150745,-0.347363,0.136616,-0.048432,1.06197,-1.81923,-0.0870204,-0.469415,-0.125177,-0.268385,-0.290992,-0.217026,-0.906605,-1.03671,-0.134491,0.798856,-0.153447,-0.802482,0.384472,2.09073,-0.635334,-0.145008,-0.467826,0.324791,-0.772818,-0.136239,-0.816793,-0.542789,-0.156796,-5.31242,0.427747,0.262015,0.0166318,-0.348515,0.121063,-0.0487644,1.05888,-1.83025,-0.0374407,-0.488441,-0.133957,-0.26956,-0.278221,-0.215392,-0.909532,-1.03089,-0.132764,0.783363,-0.164689,-0.786168,0.374402,0.194756,0.19766,0.118228,0.178627,0.0112618,0.371658,0.337409,0.248513,0.25953,0.0311477,0.832185,0.351456,0.1759,0.345124,0.0241818,0.279004,0.0107203,0.444475,0.350073,0.577668,0.630972,0.398194,0.205724,0.313957,0.114504,0.373443,0.426248,0.114126,0.358703,0.542597,0.255216,0.428301
7,2.00298,-0.63336,-0.151154,-0.469747,0.319762,-0.796393,-0.155974,-0.819492,-0.590014,-0.173191,-5.28872,0.421565,0.254533,0.0516458,-0.334727,0.176878,-0.0424146,1.02789,-1.78527,0.0434461,-0.451022,-0.128674,-0.255052,-0.300848,-0.22348,-0.886156,-1.00089,-0.113235,0.718791,-0.189601,-0.752067,0.344827,1.99459,-0.644068,-0.146461,-0.469356,0.321099,-0.758846,-0.138324,-0.819938,-0.531217,-0.174355,-5.31739,0.452555,0.263181,-0.0198669,-0.332958,0.11643,-0.0436175,1.05491,-1.84301,-0.0520285,-0.412606,-0.150637,-0.255167,-0.282157,-0.216567,-0.909226,-1.04681,-0.128879,0.802139,-0.206493,-0.776089,0.344498,2.00087,-0.635358,-0.144242,-0.467815,0.321567,-0.771126,-0.137377,-0.817234,-0.542496,-0.171351,-5.31382,0.428944,0.261428,-0.00986717,-0.333799,0.120833,-0.0438095,1.05906,-1.82905,-0.0382733,-0.486593,-0.127738,-0.268904,-0.277864,-0.215034,-0.909122,-1.03058,-0.132401,0.783637,-0.163458,-0.784917,0.375294,0.188711,0.206276,0.116418,0.178886,0.011881,0.35952,0.341122,0.237243,0.260521,0.0312144,0.878725,0.380513,0.187276,0.340562,0.0248572,0.273626,0.0103298,0.477286,0.340513,0.611038,0.645848,0.412592,0.202838,0.318934,0.114164,0.392197,0.403581,0.116404,0.355014,0.532385,0.254418,0.431219
8,1.94427,-0.666787,-0.152839,-0.479705,0.313785,-0.778073,-0.141349,-0.808071,-0.539081,-0.182916,-5.27015,0.433108,0.266549,-0.0389498,-0.299121,0.104617,-0.0389206,1.08457,-1.82787,-0.0106367,-0.490883,-0.118003,-0.275582,-0.36245,-0.213975,-0.818243,-0.957413,-0.139776,0.702413,-0.160869,-0.757525,0.383876,1.94256,-0.640294,-0.141665,-0.4617,0.315573,-0.763914,-0.154217,-0.819833,-0.547626,-0.180525,-5.31811,0.413509,0.257508,0.0042463,-0.295309,0.13321,-0.041087,1.04575,-1.83027,-0.0213165,-0.492862,-0.147008,-0.27679,-0.25929,-0.210876,-0.901368,-1.03226,-0.138529,0.765616,-0.179817,-0.782589,0.354777,1.93918,-0.635595,-0.144707,-0.467898,0.315921,-0.772088,-0.134818,-0.816829,-0.542551,-0.178531,-5.31289,0.427667,0.261275,0.00253074,-0.295911,0.121022,-0.0409563,1.05807,-1.82867,-0.0389869,-0.486312,-0.132905,-0.26931,-0.277494,-0.215192,-0.909951,-1.03138,-0.132557,0.784635,-0.164108,-0.78563,0.375206,0.178557,0.191678,0.127358,0.173445,0.0115373,0.354537,0.365775,0.241019,0.267632,0.0313217,0.810885,0.372268,0.173302,0.343424,0.022434,0.286086,0.0108598,0.430197,0.338289,0.619507,0.60803,0.40089,0.212609,0.319566,0.115901,0.36486,0.418948,0.115679,0.364511,0.568782,0.242483,0.409292
9,2.09774,-0.654999,-0.15134,-0.4747,0.323409,-0.792793,-0.101636,-0.822776,-0.549841,-0.170297,-5.30461,0.40146,0.253222,-0.00633298,-0.342423,0.139426,-0.043701,1.00425,-1.8151,0.0173928,-0.517762,-0.117751,-0.282319,-0.297121,-0.213661,-0.858103,-1.0066,-0.12217,0.805878,-0.182282,-0.792668,0.372293,2.12052,-0.633151,-0.149952,-0.470312,0.323107,-0.763138,-0.13856,-0.817075,-0.553858,-0.168295,-5.29674,0.429019,0.253699,-0.00801675,-0.340404,0.131588,-0.0447653,1.06954,-1.81645,-0.0123537,-0.492693,-0.127682,-0.271917,-0.283977,-0.213711,-0.884086,-1.03005,-0.135799,0.756143,-0.168466,-0.795052,0.394521,2.11814,-0.634765,-0.144604,-0.467922,0.322827,-0.77252,-0.134224,-0.816903,-0.544752,-0.166529,-5.30864,0.427856,0.261519,-0.00256016,-0.340359,0.122068,-0.0455369,1.06106,-1.82838,-0.0222122,-0.487639,-0.133163,-0.269762,-0.276629,-0.215353,-0.910278,-1.03118,-0.132776,0.784233,-0.160539,-0.785494,0.376715,0.194902,0.194137,0.123138,0.172703,0.0117896,0.347782,0.351737,0.23137,0.275683,0.0300806,0.826333,0.371942,0.174799,0.333147,0.0254731,0.285317,0.010418,0.461475,0.338566,0.61771,0.623302,0.405583,0.206779,0.315577,0.117153,0.38857,0.418701,0.118569,0.371251,0.527336,0.253949,0.431214
10,1.85407,-0.623587,-0.137701,-0.484446,0.326055,-0.709179,-0.139098,-0.843189,-0.5218,-0.145809,-5.27963,0.406742,0.253249,-0.00593434,-0.350602,0.103168,-0.0511174,1.04077,-1.78672,-0.00999941,-0.388512,-0.177235,-0.302001,-0.303633,-0.216696,-0.858592,-0.976949,-0.135953,0.81456,-0.232412,-0.767985,0.354422,1.83995,-0.643846,-0.149709,-0.472176,0.326158,-0.767461,-0.138928,-0.817947,-0.540123,-0.144842,-5.30556,0.424438,0.263783,0.00642416,-0.34977,0.124358,-0.0527345,1.06155,-1.82363,-0.0099038,-0.460989,-0.149871,-0.280885,-0.287241,-0.2093,-0.896274,-1.03814,-0.12386,0.789154,-0.169338,-0.768131,0.388088,1.8408,-0.635151,-0.14426,-0.468154,0.326372,-0.77176,-0.134536,-0.816737,-0.542106,-0.140904,-5.3118,0.426309,0.260484,0.00495999,-0.352746,0.120341,-0.0540259,1.0569,-1.82814,-0.0148261,-0.486447,-0.130581,-0.268934,-0.277173,-0.215088,-0.909551,-1.03055,-0.132066,0.783918,-0.16209,-0.785829,0.375049,0.153313,0.203414,0.122946,0.176619,0.0120981,0.360517,0.319847,0.235105,0.269444,0.0311021,0.816861,0.374079,0.177077,0.335081,0.0251909,0.287583,0.0105978,0.433809,0.337373,0.603521,0.64154,0.388236,0.213478,0.320349,0.113675,0.373306,0.435095,0.11558,0.362818,0.550319,0.25115,0.415937
