parameter,value
V_pop,1.95210049452151
Wc_11_pop,-0.635583697011071
Wc_12_pop,-0.144746869052802
Wc_13_pop,-0.467924813327364
Wc_14_pop,0.32020754250379
Wc_15_pop,-0.772086628904375
bc_11_pop,-0.135109272319734
bc_12_pop,-0.816815057851131
bc_13_pop,-0.542545877499085
bc_14_pop,-0.171172201209289
bc_15_pop,-5.3127454264743
Wc_21_pop,0.427640196899394
Wc_22_pop,0.261370799409889
Wc_23_pop,-0.00167051937541144
Wc_24_pop,-0.324295570455578
Wc_25_pop,0.121034275037801
bc_21_pop,-0.0439000970145577
Wct_11_pop,1.05805599081805
Wct_12_pop,-1.82884555218753
Wct_13_pop,-0.0377149100561114
Wct_14_pop,-0.486677862882507
Wct_15_pop,-0.132651092906383
bct_11_pop,-0.269318596952194
bct_12_pop,-0.277430623044443
bct_13_pop,-0.215145426680258
bct_14_pop,-0.910058711587325
bct_15_pop,-1.03142485815975
Wct_21_pop,-0.132531256348305
Wct_22_pop,0.784613110875956
Wct_23_pop,-0.163894092809709
Wct_24_pop,-0.785550845235845
Wct_25_pop,0.374839605108191
omega_V,0.0827436679660946
omega_Wc_11,0.203539935179465
omega_Wc_12,0.124899303582427
omega_Wc_13,0.176765089747227
omega_Wc_14,0.0124565180110109
omega_Wc_15,0.358921904938013
omega_bc_11,0.355375483142665
omega_bc_12,0.240749509649696
omega_bc_13,0.270018427520505
omega_bc_14,0.0324701315539741
omega_bc_15,0.83195133628172
omega_Wc_21,0.370026219268835
omega_Wc_22,0.179327019276118
omega_Wc_23,0.336222055423488
omega_Wc_24,0.0335284671401
omega_Wc_25,0.279953301588845
omega_bc_21,0.0111525503602601
omega_Wct_11,0.455173128821069
omega_Wct_12,0.339486730470943
omega_Wct_13,0.608095369991594
omega_Wct_14,0.617481803567448
omega_Wct_15,0.399769512918031
omega_bct_11,0.207973724680894
omega_bct_12,0.313158533281641
omega_bct_13,0.116230352840994
omega_bct_14,0.38045544001242
omega_bct_15,0.431042147734279
omega_Wct_21,0.116768410061054
omega_Wct_22,0.362166219568815
omega_Wct_23,0.544099366642208
omega_Wct_24,0.247926848658268
omega_Wct_25,0.417814565616101
b,0.18742064935854
